filename,dense_forest,dry_vegetation,low_humidity,strong_wind,rained_recently,high_temperature,minimal_human_activity,lightnings_frequent,power_lines_nearby,wildfire_risk,split
image_0000.png,0,1,1,0,1,0,1,0,1,0,train
image_0001.png,1,1,1,0,0,0,0,1,0,1,val
image_0002.png,0,0,0,1,1,0,0,1,1,0,val
image_0003.png,0,0,0,0,0,1,1,0,1,0,train
image_0004.png,1,0,0,0,1,1,1,0,0,0,val
image_0005.png,0,0,0,0,0,0,1,1,1,0,val
image_0006.png,0,0,1,0,0,0,1,0,0,0,train
image_0007.png,0,0,1,0,1,0,0,0,0,0,train
image_0008.png,0,0,0,0,0,0,0,0,1,0,train
image_0009.png,0,0,0,1,1,1,0,0,0,0,val
image_0010.png,1,1,0,1,1,0,1,1,0,0,train
image_0011.png,0,1,0,0,1,1,0,1,1,0,train
image_0012.png,1,1,0,0,1,0,1,0,1,0,train
image_0013.png,1,0,1,1,1,1,0,1,1,1,train
image_0014.png,0,0,1,1,0,0,1,0,1,0,val
image_0015.png,1,0,0,1,0,0,0,1,0,0,val
image_0016.png,0,0,0,1,0,0,1,1,0,0,train
image_0017.png,1,0,1,1,0,1,1,1,0,1,train
image_0018.png,0,0,1,1,0,0,1,0,0,0,train
image_0019.png,0,0,1,1,1,1,1,1,0,0,train
image_0020.png,1,0,0,0,0,1,1,0,0,0,train
image_0021.png,0,0,0,0,0,0,1,1,0,0,train
image_0022.png,0,0,1,1,0,0,1,0,0,0,train
image_0023.png,0,1,1,0,1,0,0,0,0,0,train
image_0024.png,1,0,1,0,1,1,1,0,1,1,train
image_0025.png,1,1,1,1,0,0,1,1,1,1,val
image_0026.png,1,0,1,1,1,1,0,1,1,1,train
image_0027.png,1,0,1,0,1,1,0,0,0,1,train
image_0028.png,0,0,0,0,0,0,1,0,0,0,train
image_0029.png,1,1,0,1,0,1,0,0,0,1,val
image_0030.png,1,0,0,0,1,1,0,0,0,0,train
image_0031.png,1,1,1,0,1,1,1,1,0,1,train
image_0032.png,1,0,0,0,0,1,1,1,0,1,train
image_0033.png,1,0,0,1,0,0,0,0,0,0,train
image_0034.png,1,0,0,0,0,1,1,0,0,0,train
image_0035.png,0,1,1,1,1,0,0,1,0,1,val
image_0036.png,1,1,0,0,1,0,0,0,1,0,val
image_0037.png,1,1,0,0,0,0,0,0,1,0,val
image_0038.png,0,0,0,1,1,1,1,0,0,0,train
image_0039.png,1,0,1,1,1,0,1,1,1,1,val
image_0040.png,0,1,0,1,0,1,0,0,1,1,train
image_0041.png,0,1,1,0,0,1,1,1,0,0,train
image_0042.png,0,1,0,0,1,0,1,0,1,0,train
image_0043.png,1,1,0,1,0,1,0,1,0,1,train
image_0044.png,1,1,1,0,1,1,1,1,0,1,train
image_0045.png,0,0,0,1,1,1,1,0,0,0,val
image_0046.png,1,0,1,1,1,0,0,0,1,1,val
image_0047.png,1,1,0,1,0,0,0,1,0,0,train
image_0048.png,0,1,1,1,1,0,0,1,0,1,val
image_0049.png,1,1,0,1,1,0,0,0,0,0,val
image_0050.png,0,1,0,1,1,1,1,1,0,0,train
image_0051.png,1,1,0,0,1,0,0,1,0,0,val
image_0052.png,1,0,0,1,1,0,1,0,0,0,train
image_0053.png,1,0,1,1,0,0,0,1,1,1,train
image_0054.png,1,0,1,0,1,1,0,0,1,1,train
image_0055.png,1,0,1,0,1,1,1,0,1,1,train
image_0056.png,1,0,0,0,1,0,0,1,1,0,train
image_0057.png,0,1,0,0,0,0,1,0,1,0,train
image_0058.png,1,1,1,0,0,0,1,0,1,1,val
image_0059.png,0,0,1,1,0,1,1,0,0,0,train
image_0060.png,1,1,1,0,1,1,0,0,0,1,train
image_0061.png,1,1,1,0,0,1,0,0,1,1,train
image_0062.png,1,1,1,0,0,1,0,0,0,1,val
image_0063.png,0,0,1,1,0,1,0,0,0,0,train
image_0064.png,0,0,0,1,1,0,0,0,0,0,train
image_0065.png,0,0,0,0,1,1,0,0,0,0,train
image_0066.png,0,1,1,0,0,0,0,0,1,0,val
image_0067.png,1,0,1,0,0,1,1,0,0,0,train
image_0068.png,1,1,0,1,1,1,0,1,1,0,val
image_0069.png,0,0,0,1,0,1,1,0,0,0,train
image_0070.png,1,1,0,0,0,0,1,1,0,0,val
image_0071.png,1,0,0,0,0,0,1,1,1,0,train
image_0072.png,0,1,1,1,1,1,1,1,1,1,train
image_0073.png,1,0,1,1,0,0,1,1,1,1,val
image_0074.png,1,1,1,1,0,1,0,1,1,1,train
image_0075.png,0,0,0,1,1,0,0,1,0,0,val
image_0076.png,0,0,0,1,1,1,1,0,0,0,train
image_0077.png,0,1,1,0,0,0,0,0,1,0,train
image_0078.png,0,0,1,1,0,1,0,0,0,0,val
image_0079.png,0,0,0,0,1,1,1,0,1,0,val
image_0080.png,1,1,0,0,1,1,1,1,0,0,train
image_0081.png,1,0,1,1,1,0,0,1,1,1,val
image_0082.png,1,1,0,0,0,0,0,0,0,0,val
image_0083.png,1,1,1,1,0,1,0,0,1,1,val
image_0084.png,1,0,0,0,0,0,1,1,0,0,train
image_0085.png,0,1,1,1,1,0,0,1,1,1,train
image_0086.png,1,1,0,1,0,0,0,0,1,0,train
image_0087.png,1,1,1,1,0,0,0,0,1,1,train
image_0088.png,0,0,0,1,1,0,1,0,0,0,train
image_0089.png,1,0,1,1,0,1,0,1,0,1,train
image_0090.png,1,0,1,1,0,1,0,0,1,1,train
image_0091.png,1,0,1,0,1,0,1,1,0,1,val
image_0092.png,1,1,1,0,0,1,1,0,0,0,train
image_0093.png,0,1,1,1,1,1,1,1,0,1,train
image_0094.png,1,1,1,0,0,0,1,1,1,1,train
image_0095.png,1,0,1,1,1,0,0,0,0,1,val
image_0096.png,0,0,0,0,0,0,1,1,1,0,train
image_0097.png,1,1,1,0,1,0,0,1,1,1,train
image_0098.png,1,0,0,1,1,0,1,0,0,0,train
image_0099.png,0,1,0,1,1,1,1,1,0,0,train
image_0100.png,0,0,1,1,1,1,1,0,0,0,train
image_0101.png,0,1,1,0,0,0,1,1,0,0,train
image_0102.png,0,1,1,0,1,0,0,0,0,0,train
image_0103.png,1,0,0,0,0,0,0,1,0,0,train
image_0104.png,0,1,0,1,1,0,0,1,0,0,val
image_0105.png,0,0,1,0,0,1,0,0,1,0,train
image_0106.png,1,1,1,0,1,0,0,0,1,1,train
image_0107.png,0,0,0,0,1,1,0,0,0,0,train
image_0108.png,0,0,1,1,1,0,0,1,0,0,train
image_0109.png,0,0,0,0,0,0,0,0,1,0,train
image_0110.png,1,0,1,0,0,1,0,1,0,1,train
image_0111.png,1,0,1,0,0,0,0,0,0,1,val
image_0112.png,0,1,1,0,0,1,0,1,1,0,train
image_0113.png,0,1,0,1,0,0,1,1,1,0,train
image_0114.png,0,0,1,0,0,0,1,1,1,0,train
image_0115.png,1,0,0,1,0,1,0,0,1,1,val
image_0116.png,0,1,1,1,0,1,1,0,0,0,train
image_0117.png,1,1,0,0,1,1,0,0,0,0,train
image_0118.png,1,0,0,1,0,1,0,1,0,1,train
image_0119.png,1,0,1,1,1,1,0,1,0,1,train
image_0120.png,0,0,0,1,1,1,0,0,1,0,train
image_0121.png,1,0,0,0,0,1,0,1,0,1,train
image_0122.png,0,0,0,1,0,0,1,1,0,0,train
image_0123.png,0,0,1,0,1,0,1,1,0,0,train
image_0124.png,1,0,0,1,0,0,1,1,1,0,train
image_0125.png,0,1,0,0,0,1,1,1,1,0,train
image_0126.png,0,0,0,1,0,0,0,0,1,0,train
image_0127.png,1,0,0,0,1,1,0,1,0,0,train
image_0128.png,1,1,1,1,0,0,1,1,1,1,train
image_0129.png,1,0,1,1,0,0,1,1,1,1,train
